Artist name,Artist id,Track name,Track popularity,Genres,Followers,uri
Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,Go Solo,3,[],607594,spotify:track:18ywhG9EvuMMUIdUWxEqp7
Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,Go Solo,3,[],607594,spotify:track:18ywhG9EvuMMUIdUWxEqp7
Josep Xortó,1pRPhN3DsSugpSb7Fwp91z,El Diable,3,"['italo disco', 'italo dance', 'hi-nrg']",1000,spotify:track:1PW9eQY2Z9ngpkF9X2mpBU
Simple Minds,6hN9F0iuULZYWXppob22Aj,Don't You (Forget About Me),3,['new wave'],2195014,spotify:track:78vGCKNSCg663zoZHeF7Rq
Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,Go Solo,3,[],607594,spotify:track:18ywhG9EvuMMUIdUWxEqp7
Model 500,2Djz8cbEv5rtrYrJYdzQ20,Electric Night,4,"['dub techno', 'acid house', 'chicago house', 'techno']",17746,spotify:track:6nKXbNYEWmLpmUGcEzZj0N
Martin Cherni DJ,4QzeNIWLxlu6ERH5ZjM5Rq,Entre la Playa,4,[],128,spotify:track:03N2jAfjQhfXyjoDjmco1w
Rita Pavone,3xc8CD41vwsoBNkGXL3pS7,Cuore,4,['italian singer-songwriter'],117426,spotify:track:0i32Sj704eKbkrHHR5Nfov
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Hand In My Pocket - Acoustic Version,5,[],3030475,spotify:track:7hjnwgAgf7agvUsSu3Zh3m
Carmen Boza,4hXMxkoIm7sX1PiFXrvU0u,Gran Hermano,5,['singer-songwriter'],38401,spotify:track:0ylNenpIESjwWLE5TZZuCT
Ilegales,2laDE3zsNJYoX7n8nF3YPJ,¡Hola Mamoncete!,5,"['latin rock', 'rock en español']",60142,spotify:track:2Zy0fzzJWgkm5NweiGgJyb
Los Ronaldos,1OTnb625gMBm5NsLYAdUEm,Ana y Choni,5,[],150267,spotify:track:4pE5XT3u8unsGKP1SH6tFQ
Oasis,2DaxqgrOhkeH0fpeiQq2f4,Don't Look Back In Anger,5,"['britpop', 'madchester', 'rock']",11398118,spotify:track:3ixTiPABjqkBKPocxq6oIe
Tones And I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5,[],2969323,spotify:track:421leiR6jKlH5KDdwLYrOs
Nocturnos,3ttkQZslmp7qPIwgW0RcrD,DJ Residente,5,[],944,spotify:track:6yr7gynsWnVFFlgEVcszfb
LL COOL J,1P8IfcNKwrkQP5xJWuhaOC,I'm Bad,5,['east coast hip hop'],1825560,spotify:track:34YavCsrSDvhTZ1PHCsNAG
Helena Goch,2JifS5JEJbv3GcQ4ZB2q9B,He Said to Me That Day,6,[],3545,spotify:track:3vv5spCoOYEf3yz26WFSAC
Los Flechazos,59fMjqzT9fvTLoGbWJZ6vA,No sabes bailar,6,['power pop'],10502,spotify:track:0v24YfdmUBSKEX9oeZyHgn
Gary's Gang,6dQgfj4Lo9jS2x2vgPkOBK,Let's Lovedance Tonight (Radio Edit) - Re-Recorded,7,"['disco', 'post-disco']",25463,spotify:track:0ZOKwSABuKBiEhknfwW94Q
SNAP!,2FrKQPjJe4pVMZOgm0ESOx,Rhythm Is A Dancer,7,['eurodance'],273495,spotify:track:1IWzfq3sLedGQ3fb2hAMBA
